epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1927,1.41224,2.35294,1.59106,0.48724,0.40443,0.39804,0.16505,1.74077,2.70607,2.26486,0.000552417,0.000552417,0.000552417
2,31.6011,1.5613,2.11328,1.71733,0.46379,0.35851,0.33434,0.11875,2.05379,2.4674,2.62726,0.00108614,0.00108614,0.00108614
3,44.9809,1.63153,2.00438,1.76832,0.27142,0.31481,0.19707,0.0799,1.9644,2.47247,2.24294,0.00159787,0.00159787,0.00159787
4,58.1582,1.6338,1.90537,1.7598,0.522,0.47566,0.43146,0.16678,1.94909,2.06874,2.2932,0.00156798,0.00156798,0.00156798
5,71.331,1.57221,1.76506,1.72135,0.64966,0.5479,0.57546,0.28259,1.69764,1.78156,2.05378,0.00153497,0.00153497,0.00153497
6,84.9905,1.51795,1.69803,1.69287,0.68053,0.5573,0.61929,0.31364,1.65418,1.58268,1.9899,0.00150197,0.00150197,0.00150197
7,98.506,1.47977,1.63975,1.66456,0.6125,0.48565,0.54074,0.27891,1.72325,1.81177,2.03741,0.00146896,0.00146896,0.00146896
8,111.811,1.45873,1.55528,1.65448,0.73792,0.64743,0.71431,0.3856,1.62207,1.36287,1.896,0.00143595,0.00143595,0.00143595
9,125.361,1.43391,1.49543,1.61913,0.72489,0.60293,0.64065,0.35204,1.56654,1.47795,1.85128,0.00140295,0.00140295,0.00140295
10,138.936,1.418,1.46457,1.60179,0.70453,0.54915,0.64102,0.34164,1.5855,1.50239,1.87138,0.00136994,0.00136994,0.00136994
11,152.422,1.39541,1.42847,1.59317,0.71739,0.56549,0.63566,0.35113,1.60184,1.51732,1.94908,0.00133693,0.00133693,0.00133693
12,165.871,1.37526,1.39459,1.56432,0.70339,0.65155,0.69667,0.38281,1.55276,1.38701,1.86532,0.00130393,0.00130393,0.00130393
13,179.487,1.34786,1.33171,1.54017,0.74365,0.65138,0.7097,0.40725,1.50375,1.30966,1.83807,0.00127092,0.00127092,0.00127092
14,192.964,1.30839,1.28789,1.5157,0.78461,0.66483,0.74141,0.41477,1.52442,1.25676,1.83449,0.00123791,0.00123791,0.00123791
15,206.375,1.32319,1.29059,1.50933,0.81499,0.69098,0.7594,0.44001,1.43986,1.20545,1.7307,0.00120491,0.00120491,0.00120491
16,219.741,1.31481,1.27665,1.51015,0.78937,0.62071,0.71057,0.42561,1.45514,1.23495,1.77005,0.0011719,0.0011719,0.0011719
17,233.193,1.29197,1.22162,1.49726,0.75627,0.65822,0.70742,0.42553,1.45762,1.27471,1.77672,0.00113889,0.00113889,0.00113889
18,246.521,1.2744,1.20019,1.47456,0.7706,0.69799,0.73677,0.45914,1.38629,1.16283,1.69932,0.00110589,0.00110589,0.00110589
19,260.203,1.26086,1.16948,1.47597,0.81563,0.70833,0.78065,0.46615,1.42705,1.1089,1.71339,0.00107288,0.00107288,0.00107288
20,273.708,1.26097,1.16392,1.46268,0.80239,0.66255,0.73005,0.43263,1.47273,1.1845,1.75275,0.00103987,0.00103987,0.00103987
21,287.019,1.23218,1.12182,1.45091,0.7979,0.66706,0.73516,0.43248,1.48289,1.22506,1.77851,0.00100687,0.00100687,0.00100687
22,300.416,1.22127,1.09867,1.43905,0.8179,0.68419,0.76661,0.47173,1.36826,1.08871,1.66815,0.000973861,0.000973861,0.000973861
23,314.317,1.2059,1.07433,1.41713,0.81486,0.71713,0.76754,0.46183,1.41427,1.06343,1.7082,0.000940855,0.000940855,0.000940855
24,328.064,1.19861,1.05425,1.42294,0.83924,0.7059,0.77293,0.48455,1.35435,1.02339,1.65037,0.000907848,0.000907848,0.000907848
25,342.33,1.18408,1.04229,1.40994,0.86678,0.68491,0.77737,0.46955,1.38296,1.09052,1.67554,0.000874842,0.000874842,0.000874842
26,356.836,1.16485,1.03101,1.39585,0.81269,0.72612,0.77753,0.47501,1.40626,1.05459,1.68696,0.000841835,0.000841835,0.000841835
27,371.631,1.16438,0.99926,1.39774,0.83497,0.72237,0.78156,0.47921,1.38112,1.05116,1.66609,0.000808828,0.000808828,0.000808828
28,386.466,1.15185,0.97885,1.38723,0.83097,0.74658,0.79258,0.47803,1.39838,1.04108,1.70373,0.000775822,0.000775822,0.000775822
29,404.018,1.13184,0.9581,1.37067,0.85892,0.73217,0.79846,0.4813,1.3846,0.99382,1.67378,0.000742815,0.000742815,0.000742815
30,419.981,1.13848,0.95725,1.37105,0.85185,0.73204,0.80034,0.49199,1.36046,0.97397,1.6461,0.000709809,0.000709809,0.000709809
31,434.408,1.10932,0.94248,1.35606,0.8654,0.72963,0.8005,0.49058,1.38255,0.97379,1.67002,0.000676802,0.000676802,0.000676802
32,448.291,1.10826,0.93101,1.35556,0.84684,0.72683,0.79359,0.48964,1.38725,1.01662,1.683,0.000643795,0.000643795,0.000643795
33,462.327,1.08356,0.8743,1.34003,0.87469,0.75285,0.81538,0.51003,1.32565,0.96355,1.62923,0.000610789,0.000610789,0.000610789
34,476.073,1.08625,0.89424,1.33747,0.83086,0.7586,0.81264,0.50349,1.35716,0.9655,1.64636,0.000577782,0.000577782,0.000577782
35,489.958,1.07716,0.86948,1.32305,0.88317,0.7089,0.80665,0.49558,1.37888,0.95394,1.68174,0.000544776,0.000544776,0.000544776
36,504.088,1.04695,0.84148,1.31932,0.84672,0.7398,0.80835,0.5031,1.36659,0.95911,1.68813,0.000511769,0.000511769,0.000511769
37,517.991,1.04114,0.84445,1.30835,0.86759,0.73079,0.80785,0.49938,1.37824,0.94185,1.66826,0.000478762,0.000478762,0.000478762
38,531.656,1.01828,0.8176,1.29804,0.82634,0.73849,0.80176,0.50197,1.36306,0.95854,1.66348,0.000445756,0.000445756,0.000445756
39,545.708,1.02439,0.80976,1.28682,0.87742,0.75135,0.81181,0.51579,1.35274,0.91624,1.65442,0.000412749,0.000412749,0.000412749
40,559.769,1.01005,0.81298,1.28071,0.84513,0.76102,0.81503,0.51222,1.34552,0.92368,1.63421,0.000379743,0.000379743,0.000379743
41,588.673,0.91029,0.62241,1.26056,0.83942,0.73599,0.79929,0.50553,1.34843,0.94676,1.65674,0.000346736,0.000346736,0.000346736
42,602.083,0.89274,0.59174,1.23591,0.84712,0.73232,0.80035,0.51548,1.3254,0.97407,1.64018,0.000313729,0.000313729,0.000313729
43,616.442,0.87003,0.5744,1.23153,0.90195,0.7332,0.80855,0.51768,1.32123,0.93408,1.65634,0.000280723,0.000280723,0.000280723
44,629.904,0.85163,0.55,1.20437,0.87594,0.7511,0.81206,0.51798,1.33036,0.92788,1.66222,0.000247716,0.000247716,0.000247716
45,646.485,0.83739,0.53321,1.19348,0.85929,0.75352,0.81087,0.51414,1.33513,0.90727,1.65932,0.00021471,0.00021471,0.00021471
46,660.277,0.81991,0.52009,1.17687,0.84733,0.74836,0.80704,0.51066,1.3142,0.91287,1.66074,0.000181703,0.000181703,0.000181703
47,673.639,0.79991,0.51571,1.17305,0.8791,0.73999,0.80733,0.51234,1.3161,0.91697,1.66493,0.000148696,0.000148696,0.000148696
48,687.031,0.79709,0.51548,1.1651,0.87664,0.74538,0.81194,0.51598,1.31424,0.88763,1.66647,0.00011569,0.00011569,0.00011569
49,700.409,0.77751,0.4906,1.14996,0.86602,0.76121,0.81652,0.52229,1.30936,0.89443,1.66098,8.26832e-05,8.26832e-05,8.26832e-05
50,714.128,0.75912,0.47738,1.14196,0.87628,0.74931,0.81292,0.5203,1.30747,0.89484,1.66085,4.96766e-05,4.96766e-05,4.96766e-05
